Id,Label,timeset,pageranks
possession.n.02,,,0.000004
property.n.01,,,0.000129
social_relation.n.01,,,0.000004
double.n.01,,,0.000126
communication.n.02,,,0.000004
exchange.n.01,,,0.000204
measure.n.02,,,0.000006
length.n.01,,,0.000414
bill.n.01,,,0.000892
phenomenon.n.01,,,0.000003
thing.n.02,,,0.000003
kindness.n.03,,,0.000005
abdominoplasty.n.01,,,0.00001
tube.n.01,,,0.000282
tail.n.01,,,0.00069
leg.n.01,,,0.002716
cancer.n.01,,,0.000481
travel.n.01,,,0.000188
base_on_balls.n.01,,,0.000792
mammal.n.01,,,0.00105
darling.n.01,,,0.000083
ivory.n.01,,,0.000047
abort.n.01,,,0.000005
choice.n.01,,,0.000057
end.n.01,,,0.001052
accomplishment.n.01,,,0.000009
prize.n.01,,,0.000066
success.n.01,,,0.000062
agon.n.01,,,0.000005
pain.n.01,,,0.000193
alienation.n.04,,,0.000003
application.n.07,,,0.000005
occupation.n.01,,,0.000325
request.n.01,,,0.0001
beachhead.n.02,,,0.000004
beach.n.01,,,0.000481
cakewalk.n.02,,,0.000003
feat.n.01,,,0.000007
hole.n.01,,,0.000712
galaxy.n.01,,,0.000009
bug.n.01,,,0.000709
one.n.01,,,0.000304
masterpiece.n.02,,,0.000004
photograph.n.01,,,0.000451
paint.n.01,,,0.000328
masterstroke.n.01,,,0.000003
genius.n.01,,,0.00028
stroke.n.01,,,0.000019
credit.n.04,,,0.000003
bank.n.01,,,0.000354
action.n.01,,,0.000003
change.n.01,,,0.000775
res_gestae.n.02,,,0.000004
size.n.01,,,0.000611
course.n.04,,,0.000004
course.n.01,,,0.000037
golf.n.01,,,0.000035
blind_alley.n.02,,,0.000003
rabbit.n.01,,,0.000192
collision_course.n.02,,,0.000004
accident.n.01,,,0.000091
train.n.01,,,0.000445
interaction.n.01,,,0.000004
interplay.n.01,,,0.000003
body_of_water.n.01,,,0.001889
contact.n.01,,,0.000089
center.n.01,,,0.000668
vision.n.01,,,0.000176
methamphetamine.n.01,,,0.000599
brush.n.09,,,0.000018
credit_card.n.01,,,0.000629
back.n.01,,,0.001313
forest.n.01,,,0.000538
cleaning.n.01,,,0.000051
beauty.n.01,,,0.000757
surface.n.01,,,0.000309
fabric.n.01,,,0.001976
painting.n.01,,,0.000064
shape.n.01,,,0.001078
public_square.n.01,,,0.000361
unsnarling.n.01,,,0.000017
head.n.01,,,0.001231
comb.n.01,,,0.000021
command.n.01,,,0.000117
tool.n.01,,,0.000652
tangle.n.01,,,0.000024
eye_contact.n.02,,,0.000003
fetch.n.01,,,0.000004
drop.n.01,,,0.000222
cry.n.01,,,0.000255
water.n.01,,,0.002822
placement.n.02,,,0.000003
interchange.n.02,,,0.000005
empathy.n.01,,,0.000051
reciprocity.n.02,,,0.000004
cross-fertilization.n.02,,,0.000003
tenor.n.01,,,0.00021
dealings.n.01,,,0.000006
road.n.01,,,0.000233
vehicle.n.01,,,0.00024
car.n.01,,,0.001217
business.n.01,,,0.000154
relation.n.06,,,0.000005
playing.n.02,,,0.000003
fun.n.01,,,0.00021
music.n.01,,,0.002433
play.n.17,,,0.000005
buffoonery.n.01,,,0.000154
combat.n.01,,,0.00001
leap.n.01,,,0.000137
sword.n.01,,,0.000048
boondoggle.n.01,,,0.000004
diversion.n.01,,,0.000021
bowling.n.03,,,0.000006
pin.n.01,,,0.000043
lane.n.01,,,0.000019
game.n.01,,,0.000427
axial_rotation.n.01,,,0.000192
sport.n.01,,,0.000283
acquiring.n.01,,,0.000005
money.n.01,,,0.002439
causing.n.01,,,0.000004
delivery.n.07,,,0.000007
box.n.01,,,0.000351
medical_officer.n.01,,,0.000447
departure.n.01,,,0.000007
ship.n.01,,,0.000489
shipwreck.n.01,,,0.000113
derring-do.n.01,,,0.000003
eccentric.n.01,,,0.000103
discovery.n.01,,,0.000006
time.n.01,,,0.001732
mystery.n.01,,,0.000083
sight.n.01,,,0.000333
search.n.01,,,0.000123
disposal.n.03,,,0.000006
judgment.n.01,,,0.00008
garbage.n.01,,,0.000144
hit.n.01,,,0.000013
implementation.n.02,,,0.000005
purpose.n.01,,,0.000425
egress.n.03,,,0.000007
door.n.01,,,0.000768
passage.n.01,,,0.000148
equalization.n.01,,,0.000007
equality.n.01,,,0.000004
degree.n.01,,,0.00039
exhumation.n.01,,,0.000007
shovel.n.01,,,0.000053
spirit.n.01,,,0.000388
mitzvah.n.02,,,0.000008
calendar_month.n.01,,,0.000194
family.n.01,,,0.001035
eve.n.01,,,0.000027
mitzvah.n.01,,,0.000009
dress.n.01,,,0.001079
jesus.n.01,,,0.002554
propulsion.n.02,,,0.000006
motor.n.01,,,0.000106
acting.n.01,,,0.000056
rally.n.02,,,0.000012
damage.n.01,,,0.000094
share.n.01,,,0.000107
kiss.n.01,,,0.000026
barter.n.01,,,0.000034
substitution.n.01,,,0.000075
anger.n.01,,,0.000335
recovery.n.03,,,0.000005
detail.n.01,,,0.001047
running_away.n.01,,,0.000003
stunt.n.01,,,0.000003
touch.n.05,,,0.000004
tour_de_force.n.01,,,0.000005
tour.n.01,,,0.000226
force.n.01,,,0.000018
delaware.n.01,,,0.000035
man.n.01,,,0.003051
performance.n.04,,,0.000005
dancing.n.01,,,0.000082
overachievement.n.01,,,0.000004
underachievement.n.01,,,0.000003
record.n.04,,,0.000006
production_line.n.01,,,0.001654
mile.n.01,,,0.000038
holder.n.01,,,0.000019
record.n.01,,,0.000473
fait_accompli.n.01,,,0.000006
china.n.01,,,0.000853
fact.n.01,,,0.000111
chef.n.01,,,0.000122
going.n.03,,,0.000007
pull.n.01,,,0.000131
conveyance.n.01,,,0.000332
metallic_element.n.01,,,0.004389
wood.n.01,,,0.002886
transportation_system.n.01,,,0.000613
santa_claus.n.01,,,0.000102
winter.n.01,,,0.00014
arrival.n.01,,,0.000005
north.n.01,,,0.000162
arrival.n.02,,,0.000003
attainment.n.02,,,0.000005
advent.n.01,,,0.000006
year.n.01,,,0.000371
calendar.n.01,,,0.000238
party.n.01,,,0.000274
entrance.n.03,,,0.000014
shutting.n.01,,,0.000058
plaza.n.01,,,0.000019
room.n.01,,,0.000475
hatchway.n.01,,,0.000046
hinge.n.01,,,0.000039
out.n.01,,,0.000035
knob.n.01,,,0.000053
distress.n.01,,,0.00005
lock.n.01,,,0.000181
incursion.n.01,,,0.000003
intrusion.n.02,,,0.000003
intruder.n.01,,,0.00003
irruption.n.01,,,0.000004
signal.n.01,,,0.000226
entree.n.04,,,0.000004
dessert.n.01,,,0.000182
entail.n.02,,,0.000004
method.n.01,,,0.000048
registration.n.01,,,0.000008
school.n.01,,,0.000661
class.n.01,,,0.000556
fundamental_law.n.01,,,0.000255
student.n.01,,,0.000132
appearance.n.05,,,0.000004
apparition.n.04,,,0.000004
emergence.n.03,,,0.000005
flow.n.01,,,0.000119
reappearance.n.02,,,0.000004
change_of_location.n.01,,,0.000395
comeback.n.02,,,0.000003
return.n.02,,,0.000005
repatriation.n.01,,,0.000006
penetration.n.03,,,0.000003
interpenetration.n.02,,,0.000009
fly.n.01,,,0.005397
cage.n.01,,,0.001828
feather.n.01,,,0.005087
talk.n.01,,,0.003121
bird.n.01,,,0.004572
chirp.n.01,,,0.003726
seed.n.01,,,0.004022
beak.n.01,,,0.005417
pet.n.01,,,0.004208
zhou.n.01,,,0.003909
market_penetration.n.01,,,0.000007
anchorage.n.05,,,0.000005
bobtail.n.01,,,0.000017
docking.n.01,,,0.000006
house.n.01,,,0.002196
necktie.n.01,,,0.000525
dock.n.01,,,0.000039
weather.n.01,,,0.000199
landing.n.04,,,0.000004
coating.n.02,,,0.000047
airplane.n.01,,,0.000524
landing.n.03,,,0.000004
forced_landing.n.01,,,0.00001
air_travel.n.01,,,0.000122
danger.n.01,,,0.000742
light.n.01,,,0.001163
muscle.n.01,,,0.000563
nest.n.01,,,0.000983
breaking_away.n.02,,,0.000003
farewell.n.02,,,0.000008
face.n.01,,,0.000339
hurry.n.01,,,0.000015
french_leave.n.01,,,0.000008
handout.n.01,,,0.000358
valediction.n.02,,,0.000004
award.n.01,,,0.000144
disappearance.n.01,,,0.000005
vanishing.n.02,,,0.000004
withdrawal.n.03,,,0.000003
effacement.n.02,,,0.000005
attempt.n.01,,,0.000099
retreat.n.07,,,0.000004
tax_shelter.n.01,,,0.000088
retirement.n.03,,,0.000006
evacuation.n.02,,,0.000004
panic.n.01,,,0.000024
shelter.n.01,,,0.000125
medical_evacuation.n.01,,,0.000008
ambulance.n.01,,,0.000031
hospital.n.01,,,0.000121
medulla_oblongata.n.01,,,0.000275
decampment.n.02,,,0.000004
medic.n.01,,,0.00037
cream.n.01,,,0.000215
skin.n.01,,,0.000827
desertion.n.01,,,0.000009
boundary.n.01,,,0.000236
absence_without_leave.n.01,,,0.000005
nothing.n.01,,,0.000123
defect.n.01,,,0.000016
abscondment.n.01,,,0.00001
train_of_thought.n.01,,,0.001464
three.n.01,,,0.000318
second_lieutenant.n.01,,,0.000006
deviationism.n.01,,,0.000004
politics.n.01,,,0.000998
emigration.n.01,,,0.000006
farming.n.01,,,0.00039
employment.n.01,,,0.000088
residence.n.01,,,0.000024
immigration.n.01,,,0.000007
land.n.01,,,0.000455
control.n.01,,,0.000414
aliyah.n.02,,,0.000003
pullback.n.02,,,0.000003
retreat.n.01,,,0.000004
standdown.n.02,,,0.000006
president_of_the_united_states.n.01,,,0.000052
senate.n.01,,,0.00008
fold.n.01,,,0.000229
comfort.n.01,,,0.000658
remainder.n.01,,,0.000709
disengagement.n.02,,,0.000004
receding.n.02,,,0.000007
economy.n.01,,,0.000102
slipstream.n.01,,,0.000179
sailing.n.03,,,0.000012
river.n.01,,,0.000212
boat.n.01,,,0.000381
water_system.n.01,,,0.000067
cargo.n.01,,,0.00017
deck.n.01,,,0.000071
float.n.01,,,0.000068
expense.n.01,,,0.000341
lake.n.01,,,0.000117
cruise.n.01,,,0.000045
pisces.n.01,,,0.000902
steam.n.01,,,0.000035
amphibious_landing.n.01,,,0.000006
egg.n.01,,,0.002293
wing.n.01,,,0.002242
debarkation.n.01,,,0.000008
going_ashore.n.01,,,0.000003
boarding.n.01,,,0.000009
rack.n.01,,,0.000925
journey.n.01,,,0.000033
exit.n.03,,,0.000005
plug.n.01,,,0.000064
elopement.n.01,,,0.000003
woman.n.01,,,0.001256
sexual_activity.n.01,,,0.000611
escape.n.01,,,0.000014
cotton.n.01,,,0.000199
evasion.n.04,,,0.000003
mask.n.01,,,0.000088
slip.n.15,,,0.000007
illusion.n.01,,,0.000117
maneuver.n.05,,,0.000016
air.n.01,,,0.000322
infantry.n.01,,,0.000552
conveyance.n.03,,,0.000481
dance.n.01,,,0.000619
clinch.n.01,,,0.000005
hand.n.01,,,0.00115
competitiveness.n.01,,,0.000589
dodge.n.02,,,0.000003
break.n.16,,,0.000019
thing.n.01,,,0.001102
law.n.01,,,0.00054
ziegler.n.01,,,0.000006
interruption.n.02,,,0.000006
heave.n.01,,,0.00195
spill.n.01,,,0.000387
gunman.n.01,,,0.000318
four.n.01,,,0.000183
fire.n.01,,,0.000664
hat.n.01,,,0.000623
getaway.n.02,,,0.000008
ussher.n.01,,,0.000141
faux_pas.n.01,,,0.000081
leaf.n.01,,,0.000763
wool.n.01,,,0.000191
exodus.n.01,,,0.000008
fagot.n.01,,,0.00066
fiction.n.01,,,0.000484
bible.n.01,,,0.000476
hegira.n.01,,,0.000007
son.n.01,,,0.000306
spice.n.01,,,0.000437
skedaddle.n.01,,,0.000004
horse.n.01,,,0.000677
underground_railroad.n.01,,,0.000005
passenger.n.01,,,0.000268
city.n.01,,,0.002067
close_call.n.01,,,0.000013
finger.n.01,,,0.00017
sales_talk.n.01,,,0.000389
noise.n.01,,,0.000512
abrasion.n.01,,,0.000278
sound.n.01,,,0.000701
cut.n.01,,,0.00083
mouse.n.01,,,0.000068
sheep.n.01,,,0.000135
surfacing.n.01,,,0.000004
wave.n.01,,,0.000105
dispatch.n.02,,,0.000013
shuttlecock.n.01,,,0.00004
worm.n.01,,,0.000916
reshipment.n.01,,,0.000003
consummation.n.02,,,0.000004
contract.n.01,,,0.000195
consummation.n.01,,,0.000004
realization.n.06,,,0.000005
orgasm.n.01,,,0.000017
sexual_intercourse.n.01,,,0.000047
acme.n.01,,,0.000018
gender.n.01,,,0.000071
point.n.01,,,0.00018
climax.n.01,,,0.000021
male_orgasm.n.01,,,0.000003
male_child.n.01,,,0.000179
fulfillment.n.02,,,0.000004
desire.n.01,,,0.000315
self-fulfillment.n.01,,,0.000004
self.n.01,,,0.000336
attainment.n.01,,,0.000005
record.n.06,,,0.000003
track_record.n.01,,,0.000004
world_record.n.01,,,0.000004
success.n.02,,,0.000007
draftsman.n.01,,,0.000461
feed.n.01,,,0.000055
six.n.01,,,0.000052
barnburner.n.01,,,0.000009
winning.n.01,,,0.000012
blockbuster.n.02,,,0.00001
ben.n.01,,,0.000019
caveman.n.01,,,0.000028
capital.n.01,,,0.001488
office.n.01,,,0.000169
greece.n.01,,,0.000276
sleeper.n.09,,,0.000005
bed.n.01,,,0.000476
pillow.n.01,,,0.000166
night.n.01,,,0.000318
hit.n.03,,,0.00001
fist.n.01,,,0.000051
prey.n.01,,,0.000039
smudge.n.01,,,0.000165
movie.n.01,,,0.000842
violence.n.01,,,0.000246
bell_ringer.n.03,,,0.000018
undergarment.n.01,,,0.000041
army.n.01,,,0.000405
dark_lantern.n.01,,,0.000011
strap.n.01,,,0.000122
name.n.01,,,0.002679
company.n.01,,,0.000201
marker.n.01,,,0.000043
label.n.01,,,0.000065
mean.n.01,,,0.000079
nature.n.01,,,0.000094
type.n.01,,,0.006543
knee.n.01,,,0.00012
ennoblement.n.02,,,0.000003
conquest.n.02,,,0.000004
war.n.01,,,0.000835
coup.n.02,,,0.000007
killing.n.01,,,0.000295
flying_colors.n.01,,,0.000007
seat.n.01,,,0.000331
pilot.n.01,,,0.00011
passing.n.07,,,0.00001
phase.n.01,,,0.000144
motion.n.03,,,0.000033
pool.n.01,,,0.000044
credit.n.06,,,0.000007
alumnus.n.01,,,0.000075
semester_hour.n.01,,,0.000007
college.n.01,,,0.000384
hour.n.01,,,0.000078
twenty-four.n.01,,,0.000082
nonaccomplishment.n.01,,,0.000004
lawsuit.n.01,,,0.000185
damages.n.01,,,0.000046
failure.n.05,,,0.000003
failure.n.01,,,0.000008
failing.n.02,,,0.000009
achiever.n.01,,,0.000013
naught.n.02,,,0.000003
skill.n.01,,,0.000085
cut.n.20,,,0.000012
knife.n.01,,,0.000328
rake.n.01,,,0.000158
chop.n.01,,,0.000072
slice.n.01,,,0.000096
default.n.01,,,0.000004
option.n.01,,,0.000081
loss.n.03,,,0.000008
aggravator.n.01,,,0.000102
death.n.01,,,0.000194
capitulation.n.03,,,0.000007
verb.n.01,,,0.000096
frustration.n.02,,,0.000007
obstruction.n.01,,,0.000111
obstacle.n.01,,,0.000032
overturn.n.02,,,0.000005
backsliding.n.01,,,0.000015
foam.n.01,,,0.000143
delay.n.01,,,0.000042
addict.n.01,,,0.000295
filling.n.01,,,0.000104
recidivism.n.01,,,0.000006
disappointment.n.01,,,0.000007
daze.n.01,,,0.000068
disappointment.n.02,,,0.000005
breach.n.01,,,0.000005
copout.n.01,,,0.000003
breach_of_contract.n.01,,,0.000005
anticipatory_breach.n.01,,,0.000007
compromise.n.01,,,0.00012
breach_of_duty.n.01,,,0.000004
mistake.n.01,,,0.000115
breach_of_the_covenant_of_warranty.n.01,,,0.000008
neck.n.01,,,0.000597
breach_of_promise.n.01,,,0.000003
promise.n.01,,,0.000027
breach_of_trust.n.01,,,0.000004
trust.n.01,,,0.000127
breach_of_trust_with_fraudulent_intent.n.01,,,0.000003
breach_of_warranty.n.01,,,0.000006
faucet.n.01,,,0.000189
leak.n.01,,,0.000115
leaning.n.04,,,0.000003
material_breach.n.01,,,0.000004
shoulder.n.01,,,0.000255
bag.n.01,,,0.000181
motivation.n.03,,,0.000003
partial_breach.n.01,,,0.000004
error.n.06,,,0.000005
footfault.n.01,,,0.000003
bobble.n.01,,,0.00001
cad.n.01,,,0.000718
disgust.n.01,,,0.000122
address.n.01,,,0.00021
timbre.n.01,,,0.000175
error.n.04,,,0.000005
blot.n.02,,,0.000016
smile.n.01,,,0.000056
shirt.n.01,,,0.000277
banquet.n.01,,,0.000015
mess.n.01,,,0.000249
mouth.n.01,,,0.000631
curve.n.01,,,0.000036
impudence.n.01,,,0.000018
confusion.n.05,,,0.000008
problem.n.01,,,0.000504
chaos.n.01,,,0.00008
order.n.01,,,0.00067
foreign_aid.n.01,,,0.000005
incursion.n.03,,,0.000003
miscalculation.n.01,,,0.000005
backfire.n.04,,,0.000007
balloon.n.01,,,0.000047
surprise.n.01,,,0.00004
rounding.n.01,,,0.000007
sentence.n.01,,,0.000066
list.n.01,,,0.000189
arrow.n.01,,,0.000091
truncation_error.n.01,,,0.000006
distortion.n.06,,,0.000003
slip.n.02,,,0.000011
graft.n.01,,,0.000046
hemipterous_insect.n.01,,,0.000195
people.n.01,,,0.002044
freudian_slip.n.01,,,0.000003
offside.n.01,,,0.000003
oversight.n.03,,,0.000004
rule.n.01,,,0.000664
omission.n.01,,,0.00001
set.n.01,,,0.000613
pretermission.n.01,,,0.000008
blunder.n.01,,,0.000017
soil.n.02,,,0.000547
jungle.n.01,,,0.00013
boo.n.01,,,0.000068
snafu.n.01,,,0.000005
spectacle.n.03,,,0.000004
circus.n.01,,,0.000057
ballup.n.01,,,0.00001
menagerie.n.01,,,0.000086
ball.n.01,,,0.000142
bull.n.04,,,0.000006
fumble.n.01,,,0.000005
breakfast.n.01,,,0.000079
stick.n.01,,,0.000214
bread.n.01,,,0.000296
fluff.n.03,,,0.000002
france.n.01,,,0.000968
liquor.n.01,,,0.000384
alcohol.n.01,,,0.00052
howler.n.03,,,0.000011
utensil.n.01,,,0.000192
thunderbolt.n.01,,,0.000181
blade.n.01,,,0.000033
carpentry.n.01,,,0.000407
clanger.n.01,,,0.000006
trip.n.07,,,0.00001
meal.n.01,,,0.000047
spill.n.04,,,0.000005
pratfall.n.01,,,0.000003
fall.n.01,,,0.000032
wipeout.n.02,,,0.000003
acquisition.n.01,,,0.000004
obtainment.n.01,,,0.000003
catching.n.03,,,0.000005
fishing.n.01,,,0.000096
incurring.n.01,,,0.000003
moneymaking.n.01,,,0.000004
annexation.n.02,,,0.000004
district.n.01,,,0.000135
pork-barreling.n.01,,,0.000004
barroom.n.01,,,0.00023
pork.n.01,,,0.000063
purchase.n.01,,,0.000004
redemption.n.03,,,0.000007
sin.n.01,,,0.000076
sale.n.01,,,0.000079
trading.n.01,,,0.000007
stock.n.01,,,0.000074
trade.n.01,,,0.000018
bond_trading.n.01,,,0.000004
trade_name.n.01,,,0.00007
program_trading.n.01,,,0.000003
trick.n.01,,,0.000071
short_sale.n.01,,,0.000005
customer.n.01,,,0.000126
short_covering.n.01,,,0.000006
silk.n.01,,,0.000113
collar.n.01,,,0.000093
heat.n.01,,,0.000607
clothing.n.01,,,0.000616
insider_trading.n.01,,,0.000006
insider.n.01,,,0.000006
naked_option.n.01,,,0.000004
dame.n.01,,,0.000038
covered_option.n.01,,,0.000004
call_option.n.02,,,0.000008
gang.n.01,,,0.000368
dial.n.01,,,0.000079
cord.n.01,,,0.00006
push_button.n.01,,,0.000084
put_option.n.02,,,0.000004
straddle.n.04,,,0.000004
stretch.n.01,,,0.000073
incentive_option.n.01,,,0.000004
vote.n.01,,,0.000109
buying.n.01,,,0.000004
shop.n.01,,,0.000149
shopping.n.01,,,0.000004
marketing.n.03,,,0.000003
mail-order_buying.n.01,,,0.000007
catalog.n.01,,,0.000006
viatication.n.01,,,0.000009
love.n.01,,,0.00028
planet.n.01,,,0.000221
sun.n.01,,,0.000418
acceptance.n.07,,,0.000004
succession.n.05,,,0.000005
assumption.n.03,,,0.000006
opinion.n.01,,,0.000157
assumption.n.07,,,0.000005
position.n.16,,,0.000007
fence.n.01,,,0.00004
terminal.n.01,,,0.000163
inheritance.n.01,,,0.000007
gift.n.01,,,0.000092
procurement.n.01,,,0.000008
belief.n.01,,,0.000301
labor.n.01,,,0.000036
finance.n.01,,,0.000121
insurance.n.01,,,0.000042
appropriation.n.03,,,0.000003
borrowing.n.01,,,0.000015
rally.n.01,,,0.000029
interest.n.01,,,0.000102
plaything.n.01,,,0.000086
parenthood.n.01,,,0.000097
gesture.n.01,,,0.000028
naturalization.n.04,,,0.000006
misappropriation.n.02,,,0.000003
plagiarism.n.01,,,0.000027
preemption.n.04,,,0.000004
go.n.01,,,0.000064
wish.n.01,,,0.000078
fortune.n.04,,,0.00009
seizure.n.04,,,0.000003
usurpation.n.02,,,0.000007
confiscation.n.01,,,0.000009
pride.n.01,,,0.000033
distress.n.04,,,0.000004
restraint.n.01,,,0.000009
impoundment.n.01,,,0.000021
shooting.n.01,,,0.000101
barrier.n.01,,,0.00004
bullet.n.01,,,0.000056
police.n.01,,,0.000282
weapon.n.01,,,0.000401
gun_trigger.n.01,,,0.0001
use.n.01,,,0.000074
nail.n.01,,,0.000175
drug_bust.n.01,,,0.000004
impress.n.01,,,0.000006
praise.n.01,,,0.00005
occupation.n.04,,,0.000008
hotel.n.01,,,0.000204
entrance.n.01,,,0.000026
preoccupancy.n.02,,,0.000004
sequestration.n.04,,,0.000006
freeze.n.01,,,0.000088
grant.n.02,,,0.000007
fund.n.01,,,0.000069
aid.n.01,,,0.000064
integrity.n.01,,,0.000029
respect.n.01,,,0.000147
recognition.n.03,,,0.000037
addiction.n.03,,,0.000003
block_grant.n.01,,,0.000004
jacket.n.01,,,0.000076
prison_guard.n.01,,,0.000217
serviceman.n.01,,,0.000081
grant-in-aid.n.01,,,0.000004
grant.n.01,,,0.000014
capture.n.01,,,0.000055
crime.n.01,,,0.00043
apprehension.n.04,,,0.000024
leash.n.01,,,0.000024
tag.n.01,,,0.000048
football.n.01,,,0.000322
knock.n.01,,,0.000027
fear.n.01,,,0.000119
salt.n.01,,,0.000164
cycle.n.01,,,0.000073
bone.n.01,,,0.000132
pawl.n.01,,,0.000077
pond.n.01,,,0.000343
pencil.n.01,,,0.000152
bite.n.01,,,0.000212
dad.n.01,,,0.000157
conquest.n.01,,,0.000007
power.n.01,,,0.000025
enslavement.n.02,,,0.000004
restitution.n.03,,,0.000011
monetary_value.n.01,,,0.000164
repair.n.01,,,0.000084
clawback.n.01,,,0.000004
claw.n.01,,,0.000099
repossession.n.01,,,0.000004
foreclosure.n.01,,,0.000005
reception.n.04,,,0.000007
information_technology.n.01,,,0.000148
envelope.n.01,,,0.00002
appointment.n.06,,,0.000004
agenda.n.01,,,0.000102
comb-out.n.02,,,0.000004
giving.n.03,,,0.000004
abandonment.n.03,,,0.000004
discard.n.03,,,0.000004
staging.n.04,,,0.000004
discard.n.02,,,0.000003
mine_disposal.n.01,,,0.000004
minesweeping.n.01,,,0.000003
trench.n.01,,,0.000109
sewage_disposal.n.01,,,0.000003
waste.n.01,,,0.000027
bait_and_switch.n.01,,,0.000005
private_treaty.n.01,,,0.000004
gratitude.n.01,,,0.00008
auction.n.02,,,0.000007
capitalization.n.04,,,0.000005
overcapitalization.n.01,,,0.000004
capitalization.n.01,,,0.000006
reclamation.n.03,,,0.000003
rescue.n.01,,,0.000008
dither.n.01,,,0.000049
lifesaving.n.01,,,0.000004
redemption.n.01,,,0.000005
absolution.n.02,,,0.000007
convict.n.01,,,0.00004
prison_term.n.01,,,0.000017
decrease.n.01,,,0.000028
indulgence.n.05,,,0.000003
